Job Title,Company Name,Job Location,Estimated Salary,Job details,Job Href
BIM Manager / Architecture Firm,Tegrastaff,"San Francisco, CA",Estimated: $115K - $146K a year,"BIM MANAGER (SAN FRANCISCO)
We are looking for a detail-oriented and competent BIM Manager to join our San Francisco team. 100% of our projects use Revit for design development, construction documentation and construction administration. The position of BIM Manager contributes to our success by managing and coordinating BIM standards development, implementation, and enforcement on all related BIM projects, models, families, and project support. This will include the development of a work plan/roadmap for the development, implementation, and quality assurance checks needed for full BIM integration. While BIM Management is the primary focus of this role, additional architectural and/or drafting support may be needed and called upon. This position may require travel.

Responsibilities
Responsible for developing and implementing BIM workflow and driving standard usage of BIM and Revit within the firm and coordination with teams outside the firm.
Oversee the use of BIM/Revit software firm-wide, including installing, configuring, maintaining, and supporting all BIM installations as well as analyzing and solving BIM user issues
Provide internal team training, support and leadership
Support each project team by (1) managing and creating Revit content library files and templates, (2) creating and enforcing standards, and (3) evaluating project models
Support project start-up coordination, helping teams develop strategies for effective delivery of quality documents, and set-up each project, thereby ensuring that each one is set up correctly.
Direct and mentor all staff who use Revit.

Qualifications and Skills
Software
Guide firm on the selection of BIM software products, including but not limited to licensing compliance, incorporating new version releases, maintaining legacy software and customizing software for specific firm needs.
Coordinate with IT vender to manage, install and maintain operations of BIM software products
Advise and support hardwear purchases firm wide
Manage the implementation of supporting software and plug-ins for BIM
Evaluate new BIM related software and technologies
Stay informed on best practices for use of Revit, AutoCAD, and BIM
Stay informed on other BIM related software products and their interaction with Revit, such as Enscape or other rendering tools
Ability to use Dynamo and other Revit add-on software for automation
Standards
Responsible for BIM standards development, implementation, and enforcement
Creation and maintenance of the template files to assure standards
Provide support for plotting and electronic file submissions
Automate routines in BIM to support standards and productivity
Provide quality control for completeness and adherence to company standards of all shop drawings produced
Assist in developing and enforcing BIM documentation and workflow process standards
Train and oversee the day-to-day activities of BIM users to ensure BIM standards are maintained in the creation of BIM models
Leadership
Report on the company’s current and projected state in regard to BIM implementation
Create and lead deployment strategies for the BIM implementation effort
Provide mentorship in professional development to team members
Assess: Evaluate the firm’s current workflow, strategies, budgets, projects, staffing, etc.
Plan: Create a plan for implementation (identify team members, what is the project, what are the goals, etc.)
Solve: Execute the plan, install the software, get templates created, get training, etc.
Support
Provide hardware and network support as it relates to BIM production
Support the BIM technology needs of a multi-office firm
Troubleshoot problems
Liaison with vendors, software developer support staff and other support channels
Training
Provide fundamental and intermediate training to staff on all BIM software, through a training program incorporating group, project team and individualized training methods
Conduct continuing education on BIM processes and its new technologies
Provide technical orientation/onboarding to new hires regarding BIM tools
Attend seminars, and workshops for BIM, bringing back best practices and disseminating the information to appropriate teams
Project Interface
Assist project teams in BIM project setup, project work modeling and detailing
Assist/create Revit families in response to project need
Create project schedules with content
Help resolve BIM design issues
Manage and distribute coordinated digital documents to the project team
Coordinate needed hardware upgrades with IT vender
Communicate with consultants to receive, coordinate and update all electronic models
Link BIM to the project construction phase for submittals, construction models, shop drawings and schedules

Who We Are

Our client is an award-winning mid-sized architecture firm specializing in commercial projects. Our people are the key to our success. We are an open office environment that understands some of the best design solutions come from diversity and a collaboration of different viewpoints and expertise.

Join Our Team

This position is full time, with fully covered Healthcare, Vision & Dental Coverage, 401(k), Pre-Tax Flexible Spending Account, Commuter Benefits, Hybrid Work Schedule (3 days in the office with 2 optional WFH), generous PTO including paid holidays. We are an Equal Opportunity Employer.",https://www.simplyhired.com/job/wBmJcA0LKa1OMQZOC9c8hij-KNnlvvrgGdMVYiKXSwK2D14mmuhRoA
IT Specialist,Primus Auditing Ops,"Santa Maria, CA",Estimated: $141K - $178K a year,"GENERAL DESCRIPTION
Software developer: Creation, implementation and management of improvements and innovation of processes and information systems to automate and migrate manual procedures to the use of technological platforms, optimizing resources. To establish a good understanding of the complex industry, employees are required to work onsite.
QUALIFICATIONS
Bilingual (English and Spanish)
System Engineer or Industrial and Systems Engineer.
Two or three years of IT-level support experience
Excellent verbal and written communication skills
Ability to efficiently prioritize multiple priorities
Ability to work well independently and within a team structure
Proficient in Microsoft Office (Excel, Word, PowerPoint) and Google Workspace (Google Sheets, Docs, Slide)
Easily adaptable to fast-paced work environment
Intermediate Python Level, any other coding language is a plus
Technological solution packages
Design of Software prototypes
Operating Systems
IT Infrastructure (Networks, Software and Hardware)
Knowledge of software development
Work Remotely
No
Job Types: Full-time, Contract
Pay: $22.00 - $28.00 per hour
Benefits:
401(k)
Dental insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Experience:
Customer service: 1 year (Preferred)
Work Location: In person",https://www.simplyhired.com/job/4m9PvrpIq_oD_Fk0lh6mBkqSwYBtdRIblfHu6BOncm9xNVHI-I4MHg
Senior Software Developer – Compute Platform Simulation,General Motors,"Mountain View, CA",Estimated: $149K - $188K a year,"Job Description
The Software Defined Vehicle will increase the vehicle’s compute capability, be connected, and allow for faster software development cycles. As a Software Simulation Developer, you will be on the forefront of realistic automotive software-in-the-loop simulation environments creating highly optimized, largely automated, high-fidelity vehicles on demand which are capable of running thousands of simultaneous scenarios on cloud compute.
The simulations support algorithm development and validation of the Software Defined Vehicle architecture and protocols as well as algorithm development of hands-free driving in all situations, active safety features, in-vehicle Infotainment, and embedded control among others. The main areas of focus are controller virtualization, bus communication, optimization, and sensor modelling. You will be working cross-collaboratively with many teams to integrate these systems into a wider CI/CD toolchain and data analytics pipeline.
Key Responsibilities
Work within an Agile environment to define, plan, and analyze user-stories to meet the team’s strategic objectives
Combine engineering analysis with strong computer science fundamentals to create accurate physics-based simulation platforms to allow developers to test development controller code
Work collaboratively with multiple teams to deliver end-to-end products and features, seeing them through from conception to delivery with a focus on (internal) customer ease-of-use
Ensure deliverables are complete as per milestones with excellence
Identify and implement areas of efficiency to the process and the product when scaling up
Investigate simulation integration problems and provides technical input in problem resolution
Maintain technical documentation to reflect accurate and current production installations
Learn new technical concepts and practices quickly and apply them across multiple types of applications and software
Qualifications
Bachelor Degree in Software, Computer or Mechanical Engineering or Computer Science
8+ years of working experience with C++
Experience with modelling in a physics-based simulation environment, preferably automotive
Experience working on large volumes of data in a real-time, or faster than real-time, discrete environment
Knowledge of digital signal processing, timing, scheduling, and multi-threaded programming
Knowledge of containerization, virtual machines, orchestration, and integration to a CI/CD pipeline
Experience with object-oriented programming, modern design patterns and writing scalable reusable code
Extensive experience with the full software development lifecycle (software requirements, design, coding, verification, support)
Knowledge of Python or other scripting languages
Experience working with Scrum/Agile software development process and tools
Familiar with High Performance Computers, Cloud Compute and/or GPU Programming an asset
Familiarity with Cameras, LiDARs, Radars as well as perception, classification and fusion algorithms an asset
Able to work in a team as well as independently
Must possess excellent communication skills
GM DOES NOT PROVIDE IMMIGRATION-RELATED SPONSORSHIP FOR THIS ROLE. DO NOT APPLY FOR THIS ROLE IF YOU WILL NEED GM IMMIGRATION SPONSORSHIP (e.g., H-1B, TN, STEM OPT, etc.) NOW OR IN THE FUTURE.
Compensation:
The compensation information is a good faith estimate only. It is based on what a successful applicant might be paid in accordance with applicable state laws. The compensation may not be representative for positions located outside of New York, Colorado, California, or Washington.
The salary range for this role is $ 152,100.00 - 232,00.00 . The actual base salary a successful candidate will be offered within this range will vary based on factors relevant to the position.
Bonus Potential: An incentive pay program offers payouts based on company performance, job level, and individual performance.
About GM
Our vision is a world with Zero Crashes, Zero Emissions and Zero Congestion and we embrace the responsibility to lead the change that will make our world better, safer and more equitable for all.
Why Join Us
We aspire to be the most inclusive company in the world. We believe we all must make a choice every day – individually and collectively – to drive meaningful change through our words, our deeds and our culture. Our Work Appropriately philosophy supports our foundation of inclusion and provides employees the flexibility to work where they can have the greatest impact on achieving our goals, dependent on role needs. Every day, we want every employee, no matter their background, ethnicity, preferences, or location, to feel they belong to one General Motors team.
Benefits Overview
The goal of the General Motors total rewards program is to support the health and well-being of you and your family. Our comprehensive compensation plan incudes, the following benefits, in addition to many others:
Paid time off including vacation days, holidays, and parental leave for mothers, fathers and adoptive parents;
Healthcare (including a triple tax advantaged health savings account and wellness incentive), dental, vision and life insurance plans to cover you and your family;
Company and matching contributions to 401K savings plan to help you save for retirement;
Global recognition program for peers and leaders to recognize and be recognized for results and behaviors that reflect our company values;
Tuition assistance and student loan refinancing;
Discount on GM vehicles for you, your family and friends.
Diversity Information
General Motors is committed to being a workplace that is not only free of discrimination, but one that genuinely fosters inclusion and belonging. We strongly believe that workforce diversity creates an environment in which our employees can thrive and develop better products for our customers. We understand and embrace the variety through which people gain experiences whether through professional, personal, educational, or volunteer opportunities. GM is proud to be an equal opportunity employer.

We encourage interested candidates to review the key responsibilities and qualifications and apply for any positions that match your skills and capabilities.
Equal Employment Opportunity Statements
GM is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws. GM is committed to providing a work environment free from unlawful discrimination and advancing equal employment opportunities for all qualified individuals. As part of this commitment, all practices and decisions relating to terms and conditions of employment, including, but not limited to, recruiting, hiring, training, promotion, discipline, compensation, benefits, and termination of employment are made without regard to an individ ual's protected characteristics. For purposes of this policy, “protected characteristics"" include an individual's actual or perceived race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth, lactation and related medical conditions), gender identity or gender expression, sexual orientation, weight, height, marital status, military service and veteran status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, or any other characteristic protected by applicable federal, state or local laws and ordinances. If you need a reasonable accommodation to assist with your job search or application for employment, email us at Careers.Accommodations@GM.com or call us at 800-865-7580. In your email, please include a description of the specific accommodation you are requesting as well as the job title and requisition number of the position for which you are applying.",https://www.simplyhired.com/job/bzWI8Tjg_4q9JpONGJWiX-x2nLyVypOrnYPnhSblxrhjsMDpDXgRwA
Jr Software Developer,"Alutiiq, LLC","San Diego, CA",Estimated: $150K - $189K a year,"Job Description:

Alutiiq Career Ventures, LLC a subsidiary of Alutiiq, LLC has an opportunity for a Junior Software Developer (UI Developer role). This position is a fully remote opportunity and will report to the Lead Software Developer.
Assists in the day-to-day program operations, as required
Serves as part of collaborative teams to address capability gaps or inefficiencies, as required
Exercises expert communications to build trust and working relationships within AAC’s established communications protocol
Collaborates with the Development Team and aids in the production of all Interactive Multimedia Instruction (IMI). Specifically:
Supports both Software Developers with testing and documenting activities for the SCO framework.
Supports Software Developer I with the testing and development of SCSS.
Collaborates with the Software Developer I for testing the responsive design of all activities and components.
Collaborates with the Software Developer I for testing the cross-browser design of all activities and components.
Aids in testing components for accessibility.
Conducts self QA on their testing documentation prior to submitting for review.
Supports Software Developers in mid-level QA prior to submission for Final QA.
Supports effort to export data and assets from BASE.
Supports delivery and testing of the product on the LMS.
Payrate: $99,444.80 Annually



Job Requirements:
Bachelor’s of Science in Computer Science (specialization in Human Computer Interactions and 508 Conformance).
The Software Developer (508) shall have a minimum of three years’ paid experience developing successful Web Content Accessibility Guide and Section 508 DL for interactive multimedia instruction (IMI) computer-managed instruction, mobile learning, serious gaming, and simulations.
Demonstrates the ability to monitor and contribute to agile production sprints.
Preferred Qualifications:
Proven experience with testing JavaScript front-end systems (React and Redux are preferred).
Proven experience with testing SCSS design systems centered around a front-end framework (Bootstrap is preferred).
Proven experience working with package managers such as NPM.",https://www.simplyhired.com/job/FOC_fVn2W9pd8YSJ4Si_Abqm4n28GiGmkPvI67Wxc0CTZBDwcuZcxg
Senior Software Developer in Test / Aerospace and Manufacturing Industry,Motion Recruitment,"El Segundo, CA",Estimated: $89.9K - $114K a year,"Job Description A SaaS company that builds platforms for mechanical assemblies is looking to hire Senior SDETs who have experience building out automation frameworks and working within manufacturing, aerospace, defense, or related industries. Due to the requirements for the role, candidates MUST be US citizens.

This role is 5 days on-sie in El Segundo. Required Skills & Experience
4+ years total experience in SDET
4+ years building automation frameworks from scratch
Experience using Typescript, JavaScript, or Python
Experience with Selenium or Pytest
Desired Skills & Experience
Bachelor’s degree in computer science or related field
What You Will Be Doing
100% New Developments
The Offer You will receive the following benefits:
Health Dental and Vision Benefits+
Paid Time Off (PTO)
401(k) with employer match
MUCH MORE!
Applicants must be currently authorized to work in the US on a full-time basis now and in the future.",https://www.simplyhired.com/job/EvURDeb00H9KhpoEiOgAxPAFjXK0cCxXj5MB3c6t4PrhvrxKh8bZvA
Android Developer,People Integra LLC,"San Leandro, CA",Estimated: $151K - $191K a year,"Android Developer
Location: San Leandro, CA (onsite)
Contract
Job Description for Android Developer
5+ years of experience as a full-time software developer or engineer Understanding of Software Development Life Cycle and experience working in Agile methodologies
3+ years Native Android Experience
3+ years of Java experience
2+ years of Kotlin experience Knack for writing clean, readable, and easily maintainable code
2+ years’ Experience working with automated testing platforms
Thanks, Regards
Shivani Tiwari
Technical Recruiter
People Integra LLC (Formerly Business Integra Inc.)
Shivani.tiwari@peopleintegra.com
www.peopleintegra.com
Job Type: Contract
Pay: $65.00 - $75.00 per hour
Expected hours: 40 per week
Schedule:
8 hour shift
Experience:
Android: 5 years (Required)
Native Android: 3 years (Required)
Kotlin: 3 years (Required)
Work Location: In person",https://www.simplyhired.com/job/zsnD3dEZWBrH857M69STkZl2WctpRJEIZVLGTcDvhjK4eBMI2z6YXw
Software Developer,Fox Corporation,"Los Angeles, CA",Estimated: $169K - $214K a year,"OVERVIEW OF THE COMPANY
FOX Entertainment
With a legacy spanning more than 35 years, FOX Entertainment is one of the world’s most recognizable media brands and a prolific content producer across its iconic broadcast network and both owned and third-party streaming platforms. Known for its independent, innovative spirit and provocative, groundbreaking storytelling, the company was reinvented in 2019 with the formation of FOX Entertainment. While maintaining its leadership in broadcast television (9-1-1: Lone Star, The Simpsons, The Cleaning Lady, Hell’s Kitchen, LEGO Masters), the company is actively building a portfolio of businesses and library of owned original content. To date, FOX Entertainment’s long-term growth strategy has included the acquisitions of award-winning animation studio Bento Box Entertainment (Bob’s Burgers, The Great North, Krapopolis, Grimsburg), entertainment platform TMZ, and global production studio MarVista Entertainment (The Way Home, Rescuing Christmas), as well as the formation of the culinary and lifestyle content venture Studio Ramsay Global (Next Level Chef, Gordon Ramsay’s Food Stars) in partnership with Gordon Ramsay. The company also established its in-house unscripted studio FOX Alternative Entertainment (The Masked Singer, Snake Oil, I Can See Your Voice, Name That Tune), FOX Entertainment Studios (Animal Control) to develop scripted content, and worldwide content sales unit FOX Entertainment Global.
JOB DESCRIPTION
Job Duties:
Fox Cable Network Services, LLC seeks a Software Developer (Staff Engineer), responsible for planning and developing highly available cloud-based services TypeScript and PHP, including API services, back-end frameworks, and content management tools for Fox digital properties. Fox’s premiere platform is the digital foundation of all Fox brands and its Web/Mobile/OTT properties. Be involved in all aspects of the software development lifecycle and advocate for development best practices, including TDD, Pair Programming, and CI/CD. Specific duties include: 1) Design and implement backend data services for maximum stability, speed, and efficiency. 2) Develop solutions and architecture in distributed platforms with a focus on asynchronous and serverless architecture. 3) Build and oversee the development of custom microservices to power key integrations with Fox’s Content Management System and consumer-facing Applications. 4) Implement integrations with Fox’s client teams which serve hundreds of millions of unique users across all its digital properties. 5) Lead team practices like code review, analysis of features, and evaluation of product needs to determine the best approach. 6) Collaborate with product owners and testers to plan, implement, and deliver new features and functionality. 7) Engage in systems design discussions with Fox’s Architects and Technical Leadership. Telecommuting permitted from any location in the U.S.
Job Requirements:
Requires a Bachelor’s degree in Computer Science, Information Systems, Mathematics, Engineering or related field, plus five (5) years of progressive, post-baccalaureate experience in software engineering or related software development experience including designing, coding, testing and documenting programs; designing and implementing enterprise-scale services in cloud providers such as AWS; executing large scale feature delivery; and working with multiple engineering teams.
Specific skills: Also requires experience or knowledge in the following: 1) AWS technologies including Lambda, RDS, OpenSearch Service, ElastiCache, S3, SQS, SNS, EC2; 2) JavaScript, Node.js and TypeScript; 3) Object-oriented programming and reusable design patterns; 4) MySQL, DynamoDB, ElasticSearch; and 5) Docker, GitHub and Jira
Any level of experience or knowledge in the specific skills is acceptable.
Telecommuting permitted from any location in the U.S.
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, gender identity, disability, protected veteran status, or any other characteristic protected by law. We will consider for employment qualified applicants with criminal histories consistent with applicable law.
At FOX, we foster a culture and environment where everyone feels welcome and can thrive. We are deeply committed to diversity, equity, and inclusion, including attracting, retaining, and promoting diverse talent across our company. We live in a diverse world, with different ideas and different perspectives that come together to spark new ideas and make great things happen. That means reflecting the diversity of the world around us is critical to our company’s success. We ensure that our viewers, communities and employees feel heard, represented, and celebrated both on screen and off.

Pursuant to state and local pay disclosure requirements, the pay range for this role, with final offer amount dependent on education, skills, experience, and location is: $201,297.41-221,427.00 annually for California. This role is also eligible for various benefits, including medical/dental/vision, insurance, a 401(k) plan, paid time off, and other benefits in accordance with applicable plan documents. Benefits for Union represented employees will be in accordance with the applicable collective bargaining agreement.
View more detail about FOX Benefits.",https://www.simplyhired.com/job/I905wrrvlIh1mp8Ifrbl5hlul_BhQY4744J1Aa7QabHpijJkbzv3SQ
Principal DevOps Architect,ASML,"San Jose, CA",Estimated: $125K - $159K a year,"Introduction to the Job
The ASML Silicon Valley Development Operations and HPC Team continuously improves on 7 main processes: Code, Build, Test, Package, Release, Configure, Monitor. A successful candidate will be expected to lead a team tasked with providing an infrastructure capable of delivering products of the highest quality for our software developers and test engineers.
This Sr DevOps Engineer will be responsible for designing, implementing, and maintaining the DevOps infrastructure and CI/CD pipelines and leading a team of DevOps engineers to ensure the efficient delivery and operation of software applications This role involves working closely with development, operations, and security teams to ensure seamless integration and delivery of software.
Roles and Responsibilities
Design and implement scalable, secure, and efficient DevOps infrastructure
Develop and maintain CI/CD pipelines to automate the software delivery process
Evaluate and integrate new tools and technologies to improve the DevOps process
Participate in planning, definition, and high-level design of the solution and exploration of solution alternatives
Enable the Continuous Delivery Pipeline through appropriate design guidelines
Provide technical guidance and mentorship to team members
Operate within an economic framework when analyzing the impact of design decisions
Plan and develop the Architectural Runway in support of new business Features and Capabilities
Collaborate with DevOps architect, software developer, test engineers, IT, Security teams and business owners to deliver the service and solution on time with quality
Document infrastructure and processes to ensure knowledge sharing and continuity
Provide oversight and foster Built-In Quality and Team and Technical Agility.
Other duties as assigned.
Education and Experience
Masters or Bachelor's degree in Computer Science, Information Technology, or a related field
Ten or more years of experience in DevOps, SRE or related role
Five or more years of experience of architecture design in CI/CD, cloud-based deployment and maintenance
Understanding of network and security protocols
Proven experience on leading and mentoring a team of engineers with excellent communication and interpersonal skills
Skills
Strong knowledge of cloud platforms (Azure, GCP)
Extensive experience with infrastructure as a code tools (e.g. Terraform)
Proficiency with containerization and orchestration (Docker, Kubernetes)
Experience with configuration management tools (Puppet)
Expertise in scripting languages (Python, Bash, PowerShell)
Familiarity with version control systems (Git, Bitbucket)
Working experience with Atlassian tools ( BitBucket, Bamboo, Jira, Confluence etc)
Experience in Artifactory (JFrog) is a plus
Excellent problem-solving and analytical skills
Strong communication and collaboration skills
This Sr. DevOps engineer is required to be onsite to attend in-person work-related events, trainings and meetings and to further ensure teamwork, collaboration and innovation. A flexible workplace arrangement is available for remote work up to two days a week.
The current base annual salary range for this role is currently:
$155,625-259,375
Pay scales are determined by role, level, location and alignment with market data. Individual pay is determined through interviews and an assessment of several factors that that are unique to each candidate, including but not limited to job-related skills, relevant education and experience, certifications, abilities of the candidate and pay relative to other team members.
The Company offers employees and their families, medical, dental, vision, and basic life insurance. Employees are able to participate in the Company’s 401k plan. Employees will also receive eight (8) hours of vacation leave every month and (13) paid holidays throughout the calendar year. For more information, please contact the Recruiter or click on this link Compensation & Benefits in the US.
All new ASML jobs have a minimum application deadline of 10 days.
This position requires access to controlled technology, as defined in the Export Administration Regulations (15 C.F.R. § 730, et seq.). Qualified candidates must be legally authorized to access such controlled technology prior to beginning work. Business demands may require ASML to proceed with candidates who are immediately eligible to access controlled technology.
Diversity and inclusion
ASML is an Equal Opportunity Employer that values and respects the importance of a diverse and inclusive workforce. It is the policy of the company to recruit, hire, train and promote persons in all job titles without regard to race, color, religion, sex, age, national origin, veteran status, disability, sexual orientation, or gender identity. We recognize that diversity and inclusion is a driving force in the success of our company.
Need to know more about applying for a job at ASML? Read our frequently asked questions.
Request an Accommodation
ASML provides reasonable accommodations to applicants for ASML employment and ASML employees with disabilities. An accommodation is a change in work rules, facilities, or conditions which enable an individual with a disability to apply for a job, perform the essential functions of a job, and/or enjoy equal access to the benefits and privileges of employment. If you are in need of an accommodation to complete an application, participate in an interview, or otherwise participate in the employee pre-selection process, please send an email to USHRServiceCenter@asml.com to initiate the company’s reasonable accommodation process.
Please note: This email address is solely intended to provide a method for applicants to initiate ASML’s process to request accommodation(s). Any recruitment questions should be directed to the designated Talent Acquisition member for the position.",https://www.simplyhired.com/job/RYn93Xhg8frvA-r6mgD-11EJI52RsSw8b6dyD4fOMw86cH0bdxhfLA
Software Engineer,"Harbor Truck Bodies, Inc.","Fontana, CA",Estimated: $94.6K - $120K a year,"Position: Software Developer & Reporting Engineer
Looking for Software Developer and Reporting Engineer with the following skills:
Improve current Sales Order configurator with latest updates and thinking. Operating in Microsoft Business Central environment. The Configurator is Expert Logic.
Website development includes launching some forms of Sales Order configurator on the company's website as well as refreshing the website. This needs to meet parameters to mitigate cyber security risks.
Create Dashboards for Sales and Manufacturing teams for online review using Power Bl or other equivalent dashboard software.
Experience with Business Central in manufacturing environment using bar coding/scanning for inventory and manufacturing controls.
Develop a configurator for Sales Managers in the field taking Sales Orders and having them signed on the spot.
Experience:
Microsoft NAV or Business Central manufacturing environment
Experience in using Expert Logic
Experience developing Dashboards using Power Bl
Some familiarity for developing and refreshing websites.
Experience with Microsoft Business Central bar coding.
Education: A degree in Computer Science or equivalent degree with a minimum of 2 to 3 years of experience.
Salary: Based on Experience
Job Type: Full-time
Benefits:
401(k)
Bereavement leave
Dental insurance
Disability insurance
Family leave
Free parking
Health insurance
Health savings account
Life insurance
Paid holidays
Paid jury duty
Paid parental leave
Paid sick time
Paid time off
Retirement plan
Vision insurance
Schedule:
8 hour shift
Experience:
Software development: 1 year (Required)
Ability to Commute:
Fontana, CA 92337 (Preferred)
Ability to Relocate:
Fontana, CA 92337: Relocate before starting work (Required)
Work Location: In person",https://www.simplyhired.com/job/MOYjZllMfjAbWSr18yZHC45rLl3_Itth77RjlGVYU7xP8Qy7-8eufQ
Algorithm Software Developer,Bruker,"San Jose, CA",Estimated: $107K - $135K a year,"Overview:
As one of the world’s leading analytical instrumentation companies, Bruker Corporation covers a broad spectrum of advanced solutions in all fields of research and development. All our systems and instruments are designed to improve safety of products, to accelerate time-to-market, and to support industries in successfully enhancing quality of life.

We have been driving innovation in analytical instrumentation for over 60 years now. Today, more than 8,500 employees distributed across 90 locations around the world continue to delight our customers with innovative solutions.
Bruker Nano, one of Bruker’s four operating segments, provides customers in academic, governmental institutions, life science, materials science, and applied industries with the tools to determine the characteristics of matter and visualize the structure of molecules. Divisions within BNANO include Bruker AXS, Bruker Nano Analytics, Bruker Nano Surfaces and Metrology, Fluorescence Microscopy, and Canopy.

As Algorithm Software Developer, you support optical and stylus profiler developments from Bruker Nano Surfaces & Metrology “BNSM” Division, manufacturer of the world's leading Atomic Forces Microscopes, Stylus Profilers, Mechanical Testers, non-contact 3D Optical Microscopes, and Multi-Angle Reflectometry & Ellipsometry. As Algorithm Software Developer, you work closely with our team of optical scientists, software developers, and other members of the team to solve complex problems and create innovative solutions.

We are looking for someone who has experience in developing new software codes both on acquisition algorithms and on analysis/result extraction sides for optical profiling technologies such as AOI, defect inspection and critical dimensions measurement. Your curiosity together with your in-depth knowledge of optical profiling technologies will help you to be successful in this role.
Responsibilities:
Design and implement complex algorithms for various optical applications, such as imaging, interferometry, spectroscopy, and sensing
Propose innovative solutions to fuel Technology Development in collaboration with Product Line Manager and Engineering Teams
Work closely with optical scientists and software developers to ensure seamless integration of algorithms into our optical products and services
Support code development for roadmap features
Collaborate with software team to enhance existing features / analysis
Provide solution path solution path for in-coming Continuous Improvements Program (CIP) or Joint Development Program (JEP) from industrial and semi-conductor Bruker customers
Assess feasibility for in-coming dedicated software solutions for potential new Bruker customers
Develop and maintain technical documentation related to algorithm design and implementation for optical systems
Provide guidance and mentorship to other members of the team
Qualifications:
Strong programming skills in C++ and Matlab
Experience in developing new acquisition/detection algorithms
Experience in algorithm development for optical systems, machine learning, or data science
Experience using OpenCV and Cognex
Experience with ML and CUDA development
Curious, self-motivated, and willing to operate within small highly focused team
Strong analytical and problem-solving skills
Excellent communication and collaboration skills
Excellent verbal and written communication skills
High proficiency in speaking English required
Minimum: B.S. in software programming with minimum 3 years experience in innovative code development
Preferred: Master in computer science with 10 years experience in code development for instrumentation

At Bruker, base salary is part of our total compensation. The estimated base salary range for this full-time position is between $150,000 to $220,000. You will have the ability progress as you grow and develop within a role. The base salary for the role will depend on a several job-related factors, including, but not limited to education, training, experience, the geographic location of the successful candidate, skills, competencies, job-related knowledge and travel requirements for this position. Full-time employees may also be eligible for a performance-related incentive in addition to a full range of benefits including 401(k) with company match, an employee stock purchase plan, medical and dental plans, life insurance, short-term and long-term disability insurance, employee assistance program and paid time off including vacation, sick time and holidays, and more.

Bruker is an equal-opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics.

Certain positions at Bruker require compliance with export control laws and as a result, all interviewed candidates for all positions will be screened pre-interview to determine their eligibility in light of export control restrictions.

#LI-DG1
#LI-Onsite",https://www.simplyhired.com/job/Cu6B9dxwMST2aBFZqxqIso14tZHQdQnLx98QvlbeKhHI7cUL3leTtA
